gd_discipline;gd_discipline_lib;discipline;discipline_lib;sect_disciplinaire;sect_disciplinaire_lib;serie_bac;serie_bac_lib;age_au_bac;age_au_bac_lib;sexe;sexe_lib;mention_bac;mention_bac_lib;cohorte_passage;effectif_neobacheliers_passage;passage_en_l2_1_an;redoublement_en_l1;passage_en_l2_2_ans;passage_en_l2_1_2_ans;reorientation_en_dut_1_an;reorientation_en_dut_2_ans;reorientation_en_dut;cohorte_reussite;effectif_neobacheliers_reussite;reussite_3_ans;reussite_4_ans;reussite_3_4_ans
LLSH;Lettres, langues et sciences humaines;05;Langues;23;Langues et littératures étrangères;1;BAC L;R2;En retard de plus d'un an;1;Homme;Q;Inconnue;2014;4.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;2012;3.0;0.0;0.0;0.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;33;Sociologie, démographie;5;BAC technologique hors STMG;R2;En retard de plus d'un an;1;Homme;D;Passable premier groupe;2014;7.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;2012;3.0;0.0;0.0;0.0
LLSH;Lettres, langues et sciences humaines;05;Langues;23;Langues et littératures étrangères;3;BAC S;R0;A l'heure ou en avance;1;Homme;A;Très bien;2014;14.0;11.0;0.0;1.0;12.0;0.0;0.0;0.0;2012;9.0;2.0;2.0;4.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;34;Sciences de l'éducation;4;BAC STMG;R1;En retard d'un an;1;Homme;B;Bien;2014;;;;;;;;;2012;1.0;1.0;0.0;1.0
LLSH;Lettres, langues et sciences humaines;05;Langues;23;Langues et littératures étrangères;4;BAC STMG;R0;A l'heure ou en avance;2;Femme;C;Assez bien;2014;110.0;20.0;39.0;15.0;35.0;0.0;2.0;2.0;2012;72.0;12.0;9.0;21.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;34;Sciences de l'éducation;4;BAC STMG;R1;En retard d'un an;2;Femme;D;Passable premier groupe;2014;19.0;4.0;2.0;1.0;5.0;0.0;0.0;0.0;2012;8.0;2.0;1.0;3.0
LLSH;Lettres, langues et sciences humaines;05;Langues;23;Langues et littératures étrangères;6;BAC professionnel;R4;Non pris en compte;1;Homme;Q;Inconnue;2014;38.0;1.0;10.0;2.0;3.0;0.0;0.0;0.0;2012;35.0;0.0;0.0;0.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;34;Sciences de l'éducation;4;BAC STMG;R2;En retard de plus d'un an;1;Homme;P;Passable deuxième groupe;2014;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2012;;;;
LLSH;Lettres, langues et sciences humaines;05;Langues;24;Langues étrangères appliquées;1;BAC L;R1;En retard d'un an;1;Homme;Q;Inconnue;2014;5.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;2012;1.0;1.0;0.0;1.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;35;Sciences de l'information et la communication;2;BAC ES;R2;En retard de plus d'un an;2;Femme;D;Passable premier groupe;2014;6.0;5.0;0.0;0.0;5.0;0.0;0.0;0.0;2012;12.0;7.0;3.0;10.0
LLSH;Lettres, langues et sciences humaines;05;Langues;24;Langues étrangères appliquées;2;BAC ES;R2;En retard de plus d'un an;1;Homme;C;Assez bien;2014;2.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2012;3.0;1.0;0.0;1.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;35;Sciences de l'information et la communication;3;BAC S;R1;En retard d'un an;1;Homme;A;Très bien;2014;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2012;;;;
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;35;Sciences de l'information et la communication;3;BAC S;R1;En retard d'un an;1;Homme;Q;Inconnue;2014;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2012;;;;
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;35;Sciences de l'information et la communication;4;BAC STMG;R2;En retard de plus d'un an;2;Femme;B;Bien;2014;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2012;2.0;1.0;0.0;1.0
DSA;Droit, gestion, économie, AES;03;Administration économique et sociale;40;Administration économique et sociale;3;BAC S;R2;En retard de plus d'un an;2;Femme;Q;Inconnue;2014;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;2012;1.0;0.0;0.0;0.0
DSA;Droit, gestion, économie, AES;03;Administration économique et sociale;40;Administration économique et sociale;4;BAC STMG;R1;En retard d'un an;2;Femme;P;Passable deuxième groupe;2014;79.0;3.0;32.0;7.0;10.0;0.0;0.0;0.0;2012;116.0;2.0;5.0;7.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;66;Pluridisciplinaire sciences humaines et sociales;2;BAC ES;R0;A l'heure ou en avance;2;Femme;Q;Inconnue;2014;8.0;7.0;0.0;0.0;7.0;0.0;0.0;0.0;2012;10.0;5.0;2.0;7.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;66;Pluridisciplinaire sciences humaines et sociales;2;BAC ES;R2;En retard de plus d'un an;1;Homme;Q;Inconnue;2014;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2012;;;;
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;66;Pluridisciplinaire sciences humaines et sociales;3;BAC S;R0;A l'heure ou en avance;2;Femme;P;Passable deuxième groupe;2014;25.0;17.0;5.0;1.0;18.0;1.0;0.0;1.0;2012;23.0;6.0;5.0;11.0
DSA;Droit, gestion, économie, AES;03;Administration économique et sociale;40;Administration économique et sociale;5;BAC technologique hors STMG;R1;En retard d'un an;2;Femme;D;Passable premier groupe;2014;36.0;3.0;15.0;3.0;6.0;0.0;0.0;0.0;2012;32.0;4.0;2.0;6.0
